Id,Id2,Geography,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78
1400000US36005015800,36005015800,"Census Tract 158, Bronx County, New York",1258,176,1258,,803,253,63.8,15.1
1400000US36005015900,36005015900,"Census Tract 159, Bronx County, New York",2194,425,2194,,353,160,16.1,6.9
1400000US36005016000,36005016000,"Census Tract 160, Bronx County, New York",4385,652,4385,,3769,635,86.0,7.2
1400000US36005016100,36005016100,"Census Tract 161, Bronx County, New York",4359,455,4359,,673,282,15.4,6.7
1400000US36005016200,36005016200,"Census Tract 162, Bronx County, New York",1791,276,1791,,1317,220,73.5,10.3
1400000US36005016300,36005016300,"Census Tract 163, Bronx County, New York",154,165,154,,0,12,0.0,18.9
1400000US36005016400,36005016400,"Census Tract 164, Bronx County, New York",1007,139,1007,,835,119,82.9,9.4
1400000US36005016500,36005016500,"Census Tract 165, Bronx County, New York",1119,175,1119,,60,62,5.4,5.4
1400000US36005016600,36005016600,"Census Tract 166, Bronx County, New York",2249,285,2249,,1365,297,60.7,9.7
1400000US36005016700,36005016700,"Census Tract 167, Bronx County, New York",2167,251,2167,,160,87,7.4,4.1
